x,y,arg
0.4328479,3.8023765,2
2.554512,17.540134,1
-11.783676,4.8957686,1
-4.4426193,-3.927537,1
-8.611012,1.5860167,1
2.2702234,0.056029957,2
1.5795015,-3.6904602,1
-1.5508921,7.0379663,2
-3.042911,22.524252,0
5.412107,14.79905,0
12.877031,0.9752861,0
6.4621415,-11.589746,2
7.6042047,10.789351,0
14.873982,8.306011,0
22.350851,9.156131,0
11.126958,-6.149215,0
8.05784,-0.85013044,2
10.604993,10.02713,2
15.295981,12.925961,0
21.222725,1.8729813,0
16.547369,-11.21412,2
5.7141666,10.089992,0
-3.882405,14.600125,1
-7.4264812,5.949079,1
-5.440053,-5.835756,2
0.28876945,5.3890386,0
-3.0668418,9.120988,1
7.083469,-16.801105,2
9.178429,9.565287,0
-4.382952,11.902705,2
9.027154,16.615097,0
7.1653666,9.4549265,0
21.534554,-9.6232195,2
4.667025,6.7431097,1
-1.327302,16.33515,1
-16.830555,-4.711591,1
-9.195852,-9.146171,1
1.8240857,-13.800819,2
-0.8456088,11.752727,0
14.646569,11.495618,0
14.998675,-6.512989,0
15.614619,-8.274575,0
9.6076765,-14.2206545,2
10.045312,9.425076,2
14.884478,8.320407,0
23.658792,3.9260123,0
11.295322,-6.269535,0
9.367837,-10.047531,2
10.709276,10.120342,2
2.4056349,17.446524,1
-16.517002,1.667116,1
-8.312421,-8.364156,1
-7.7451763,-1.7809609,1
2.2120812,0.06535488,2
1.5796293,-3.6194685,1
15.338823,15.519974,0
13.450175,-7.2068405,2
4.2656507,1.561988,0
4.339053,20.365206,1
-6.6118736,3.1844184,1
-12.479265,-3.2746944,1
-3.0855405,-6.3041306,2
-0.25990394,-8.215988,1
3.956945,13.735902,0
26.78508,3.180181,0
10.554743,5.9538827,0
10.689918,-3.7690024,2
3.8051608,-4.0528226,0
-1.5534515,15.949603,1
-16.190641,-3.9735742,1
-9.351795,-9.111234,1
1.5666615,-13.389029,2
-0.8997097,11.824159,1
-10.963836,13.736322,1
-8.87023,-5.023373,1
-1.5857905,-6.6434946,2
-1.2082311,5.0228863,2
0.45767453,8.939249,1
-5.8613677,7.7995124,1
-2.8493013,1.5846019,1
-5.088936,-8.111729,1
1.476657,2.06066,2
0.86381304,-3.6224568,1
7.542336,13.680607,0
23.646551,3.9049325,0
11.43067,-6.349877,0
9.355507,-10.043136,2
7.0557995,-1.850108,2
-2.3554587,18.621017,1
-6.0189085,9.239013,1
-14.945012,-0.25775725,1
-7.830651,-4.6990433,1
0.075368986,-11.18361,2
9.521064,-0.8804489,1
2.1086485,13.118797,1
-12.374058,6.5299106,1
3.2577908,-7.526511,2
2.8833833,3.8830144,2
14.673837,11.516534,0
14.923409,-6.4731827,0
15.670747,-8.402726,0
9.65356,-14.186269,2
10.08334,9.481499,2
-5.2304573,9.186805,1
9.872144,-3.1149302,1
-7.22601,-17.693563,2
3.5187106,4.2810464,2
15.338057,12.893529,0
13.054587,1.6306982,0
7.1591887,-11.848106,2
7.7757807,11.258969,0
0.0023426267,8.261856,1
-6.2733817,8.092449,1
-4.757516,-3.7004285,1
-8.8517,2.02352,1
3.287406,-0.5588333,2
0.9630197,-3.5665157,1
-9.7824135,17.37945,1
-10.750582,0.5465481,1
-2.5975997,-14.288522,2
-0.1552765,0.45517045,1
2.918627,12.592135,0
14.769835,9.691215,0
20.053394,8.197467,0
18.255913,-3.7307584,0
11.643324,-1.380611,2
3.800317,2.9217165,2
-10.968142,13.743184,1
-8.95198,-4.980007,1
-1.532549,-6.5279922,2
5.3617935,-2.8558671,0
-4.0447245,7.1844473,1
-10.534772,-1.3530687,2
5.3484993,4.937149,2
